	sum 	deprecate?	flag for upgrade?	comments
SQLite/3.9.2-foss-2016a	1793			
SQLite/3.9.2-foss-2016b	8044			
SRA-Toolkit/2.8.1-3-centos_linux64	0			
SRA-Toolkit/2.8.2-1-centos_linux64	508			
STAR-Fusion/1.6.0-foss-2018b-Perl-5.28.0	33			
STAR/2.5.3a-foss-2016b	2034			
STAR/2.7.0f-foss-2016b	15			
STAR/2.7.0f-foss-2018b	156			
STAR/2.7.1a-foss-2016b	4038			
STAR/2.7.3a-foss-2018b	22			
SWIG/3.0.12-foss-2018b-Python-3.7.0	0			
Salmon/0.14.1-foss-2018b	23			
Salmon/0.8.2	28			
Sambamba/0.7.1	129			
ScaLAPACK/2.0.2-gompi-2016a-OpenBLAS-0.2.15-LAPACK-3.6.0	6236			
ScaLAPACK/2.0.2-gompi-2016b-OpenBLAS-0.2.18-LAPACK-3.6.1	126740			
ScaLAPACK/2.0.2-gompi-2018a-OpenBLAS-0.2.20	1			
ScaLAPACK/2.0.2-gompi-2018b-OpenBLAS-0.3.1	25367			
SimpleQueue/3.0	0			
SimpleQueue/3.1	4384			
Singularity/2.3.1-GCC-5.4.0-2.26	0			
Singularity/2.3.2-GCC-5.4.0-2.26	0			
Singularity/2.4.2	57			
Singularity/2.4.2-GCC-5.4.0-2.26	3			
SomaticSniper/1.0.5.0-foss-2016b	1			
Spark/2.0.2	0			
Spark/2.3.0-Hadoop-2.7-Java-1.8.0_144	3			
Stacks/1.46-foss-2016a	0			
Stacks/1.46-foss-2016b	0			
Stacks/2.1-foss-2016b	3			
StdEnv	20116			
Stow/2.2.2-foss-2016b	0			
Strelka/2.9.2-foss-2016a	0			
Strelka/2.9.2-foss-2016b	2			
StringTie/1.3.3b-foss-2016b	3793			
SublimeText/3.0_3143	0			
Subread/2.0.0-GCC-7.3.0-2.30	239			
SuiteSparse/5.1.2-foss-2018b-METIS-5.1.0	87			
Szip/2.1-foss-2016a	194			
Szip/2.1-foss-2016b	22437			
Szip/2.1.1-GCCcore-7.3.0	9794			
Szip/2.1.1-foss-2016b	7290			
TRAPeS/1f3251e-foss-2016b-Python-2.7.13	0			
TRAPeS/f5a4761-foss-2016b-Python-2.7.13	0			
TandemRepeatsFinder/4.0.9	10			
Tcl/8.6.4-foss-2016a	1794			
Tcl/8.6.4-foss-2016b	8042			
Tcl/8.6.5-foss-2016a	172			
Tcl/8.6.5-foss-2016b	21720			
Tcl/8.6.7-foss-2016b	7487			
Tcl/8.6.8-GCCcore-7.3.0	11178			
Tk/8.6.4-foss-2016a-no-X11	1790			
Tk/8.6.4-foss-2016b-no-X11	8045			
Tk/8.6.5-foss-2016a	172			
Tk/8.6.5-foss-2016b	21585			
Tk/8.6.7-foss-2016b	7474			
Tk/8.6.8-GCCcore-7.3.0	9838			
Tkinter/2.7.15-foss-2018b-Python-2.7.15	42			
Tkinter/3.7.0-foss-2018b-Python-3.7.0	8			
TopHat/2.1.1-foss-2016a	12			
TopHat/2.1.1-foss-2016b	912			
Trim_Galore/0.5.0-foss-2016b	349			
Trimmomatic/0.36-Java-1.8.0_92	1530			
Trimmomatic/0.38-Java-1.8	2			
Trimmomatic/0.39-Java-1.8	248			
Trinity/2.11.0-foss-2018b-Python-3.7.0	15			
Trinity/2.2.0-foss-2016a	0			
Trinity/2.4.0-foss-2016b	330			
UDUNITS/2.1.24-foss-2016b	7182			
UDUNITS/2.2.20-foss-2016a	0			
UDUNITS/2.2.26-foss-2018b	9758			
UMI-tools/1.0.1-foss-2018b-Python-3.7.0	8			
UROBORUS/0.1.3	0			
UnRAR/5.5.8-foss-2016b	0			
VCFtools/0.1.14-foss-2016a-Perl-5.22.1	91			
VCFtools/0.1.16-foss-2018b-Perl-5.28.0	171			
VDJFasta/1.1.2-foss-2016b	0			
VDJtools/1.1.5	14			
