	sum 	toolchain	unused	deprecate?	flag for upgrade, then deprecate?	flag for upgrade only	hide only	comments
PROJ/5.0.0-foss-2018b	954	2018b						
PROJ/7.0.1-GCCcore-6.4.0	46035	2018a			Y			who is using this?
Pango/1.41.1-foss-2018a	39731	2018a			Y			
ParMETIS/4.0.3-foss-2018b	3388	2018b						
ParaView/5.4.1-foss-2018a	24	2018a		Y				
ParaView/5.4.1-foss-2018b-mpi	10	2018b						
Perl/5.22.1-foss-2016b	861	2016b					hide	
Perl/5.26.1-GCCcore-6.4.0	126647	2018a					hide	who is using this?
Perl/5.28.0-GCCcore-7.3.0	5	2018b	Y					
PnetCDF/1.9.0-iomkl-2018a	1491	2018a			Y			
PostgreSQL/10.3-foss-2018a-Python-2.7.14	45	2018a		Y				
PostgreSQL/9.6.1-foss-2016b	12	2016b		Y				
Python/2.7.12-foss-2016b	90	2016b		Y				
Python/2.7.13-foss-2016b	11	2016b		Y				
Python/2.7.14-GCCcore-6.4.0-bare	328	2018a		Y				
Python/2.7.14-foss-2018a	131774	2018a		Y				
Python/2.7.14-iomkl-2018a	876	2018a		Y				
Python/2.7.15-GCCcore-7.3.0-bare	3	2018b	Y					
Python/2.7.15-foss-2018b	17	2018b						
Python/2.7.15-intel-2018b	38	2018b		Y				
Python/3.5.1-foss-2016b	321	2016b		Y				
Python/3.6.4-foss-2018a	146825	2018a						
Python/3.6.4-iomkl-2018a	5149	2018a						
Python/3.6.6-foss-2018b	1461	2018b						
Python/3.7.0-foss-2018b	3509	2018b						
Python/3.7.0-fosscuda-2018b	10	2018b						
Python/3.7.0-iomkl-2018b	12	2018b						
Q-Chem/5.1-openmpi	2	system	Y	Y				
Q-Chem/5.2-openmpi	8009	system						
Q-Chem/5.2-openmpi-3.1.1	0	system	Y	Y				
QCTOOL/2.0.6	2	system	Y	Y				
Qhull/2015.2-GCCcore-6.4.0	627	2018a						
Qt/4.8.7-foss-2018a	10	2018a						
Qt5/5.10.1-foss-2018a	657	2018a						
Qt5/5.10.1-foss-2018b	1409	2018b						
QuantumESPRESSO/6.1-intel-2018a	1017	2018a						
QuantumESPRESSO/6.5-intel-2018b	198	2018b						
R/3.4.4-foss-2018a-X11-20180131	11883	2018a						
R/3.5.0-foss-2016b-avx2	12	2016b		Y				
R/3.5.3-foss-2018a-X11-20180131	19990	2018a						
R/3.6.1-foss-2018b	947	2018b						
R/3.6.1-foss-2018b-X11-20180604	3933	2018b						
ROMS/3.7-iomkl-2018a	55	2018a						
ROOT/6.14.06-foss-2018a-Python-3.6.4	3666	2018a						
RStudio/1.1.463-foss-2018a-R-3.4.4-X11-20180131	22	2018a						
RStudio/1.1.463-foss-2018a-R-3.5.3-X11-20180131	161	2018a						
RStudio/1.2.5033	444	system						
Rclone/1.47.0	101	system						
Rclone/1.51.0	110	system						
Rosetta/3.10	262	system						
SAGA/6.0.0-foss-2018a	0	2018a	Y	Y				
SAM-6.10.3-iomkl-2018b	43	2018b						
SAMtools/1.7-foss-2018a	1047	2018a						
SAOImageDS9/7.8.1	33	system						
SCOTCH/6.0.6-foss-2018b	3418	2018b						
SCons/3.0.1-iomkl-2018a-Python-2.7.14	0	2018a	Y	Y				
SIRIUS/4.0.1	26	system						
